y,x,class
8.226460648961613e-42,8.226460648961613e-42,no_correction
8.116730067535588e-46,8.116730067535588e-46,no_correction
1.3549307644730256e-43,1.3549307644731417e-43,no_correction
6.732360034684266e-45,6.73236003468369e-45,no_correction
3.636937205461351e-42,3.636937205461351e-42,no_correction
2.4203362741427196e-41,2.4203362741422006e-41,no_correction
2.0129622889431437e-40,2.0129622889431437e-40,no_correction
1.9449577764433114e-42,1.9449577764433114e-42,no_correction
3.539276890948303e-43,3.5392768909478484e-43,no_correction
1.2242342583023563e-44,1.2242342583023563e-44,no_correction
6.8258610872488986e-40,6.825861087248217e-40,no_correction
1.4279952673704493e-49,1.4279952673704493e-49,no_correction
4.946237690258506e-45,4.946237690259142e-45,no_correction
6.679371639458919e-41,6.679371639459778e-41,no_correction
9.218358699324622e-42,9.218358699324622e-42,no_correction
2.100279185857788e-44,2.1002791858582974e-44,no_correction
6.19508342106224e-49,6.195083421061445e-49,no_correction
1.6174460975532198e-47,1.617446097553381e-47,no_correction
1.559991515188876e-39,1.559991515188943e-39,no_correction
4.1696381335820196e-42,4.169638133581841e-42,no_correction
9.025003252959634e-43,9.025003252958605e-43,no_correction
4.578067350984137e-45,4.578067350984528e-45,no_correction
1.3093292984566967e-42,1.3093292984567529e-42,no_correction
8.09499425624549e-42,8.094994256245143e-42,no_correction
2.5448969463236197e-45,2.544896946323729e-45,no_correction
5.501597384023399e-41,5.501597384022691e-41,no_correction
1.338929581626285e-44,1.338929581626285e-44,no_correction
5.525512611684036e-43,5.525512611684745e-43,no_correction
8.644946616926833e-41,8.644946616926834e-41,no_correction
1.66220233954544e-39,1.662202339545654e-39,no_correction
6.8819859476593035e-46,6.881985947659891e-46,no_correction
9.84775588707251e-39,9.847755887072088e-39,no_correction
1.0882240591276297e-43,1.0882240591276297e-43,no_correction
